Variable,Label,Values
id,SITE/LOC/SUBJECT ID,
assessment,When the test was administered,
assessment_order,Numeric assessment label from earliest to latest.,
wj_picvo,Picture Vocabulary standard score. Measures the ability to recognize or to name pictured objects. Higher scores = more verbal comprehension/crystallized knowledge.,
wj_vrba,Verbal Analogies standard score. Measures the ability to complete phrases with words that indicate appropriate analogies. Higher scores = more verbal fluid reasoning and crystallized knowledge.,
wj_pscmp,Passage Comprehension standard score.The first four items require pointing a  picture represented by a phrase.The remaining items require reading a short passage and identifying a missing key word.Higher scores = more vocab and comprehension skill.,
wj_appld,Applied Problems standard score. Measures practical problem solving in mathematics. Higher scores = more practical math problem solving skill.,
wj_memse,"Memory for Sentences standard score. Measures the ability to remember and repeat simple words, phrases, and sentences presented auditorily. Higher scores = better short-term memory and comprehension.",
wj_incom,"Incomplete Words standard score. After hearing a recorded word that has one or more phonemes missing, the subject names the complete word. Higer scores = better auditory processing.",
wj_memna,"Memory for Names standard score. Measures the ability to learn associations between unfamiliar auditory and visual stimuli, which increases in diffculty. Higher scores = better long-term memory retrieval",
wj_lwid,Letter-Word Identification standard score. The first five items measure the ability to match a pictograph of a word with an actual picture. The remaining items measure reading identification skill in identifying isolated letters and words. Higher scores = more verbal knowledge.,
wj_wrdat,Word Attack standard score. Measures the subject’s ability pronunciate unfamiliar printed words. The test involves reading letter combinations that do not form actual words. Higher scores mean better auditory processing.,
wj_calc,"Calculations standard score.  Measures mathematical calculation performance. Calcuations include addition, subtraction, multiplication, division, and combinations of eaach. It also includes geometric, trigonometric, logarithmic, and calculus operations. Higher scores mean higher math calculation performance.",
