instrument,construct,key,ages,informant
ASBI,Adaptive Social Behavior Inventory (ASBI),Prosocial behavior,"24 Month, 36 Month",Cg
About My Family,Friend’s Family Demographics,"Demographics, friend","4th Grade, 6th Grade",Fr’s M
About This Classroom,Friend’s School Information,"School environment, friend","4th Grade, 6th Grade",Fr’s T
Academic Skills,Academic Skills Rating Scale from the Early Childhood Longitudinal Study,"Language, Literacy, & Math skills","K, 1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade",T
Activities and Feelings,Loneliness and Social Dissatisfaction Questionnaire,Loneliness,"1st Grade, 3rd Grade, 5th Grade, Age 15",C
Adolescent Work Experiences Questionnaire,Adolescent Work Experiences Questionnaire,"Employment, adolescent",Age 15,C
Adult Friendship,Adult Friendship Quality Questionnaire,"Friendship quality, parental","3rd Grade, 4th Grade, 5th Grade",M
Adult Friendship,Adult Friendship Quality Questionnaire,"Friendship quality, parental","3rd Grade, 4th Grade, 5th Grade","M, F"
After School,After School Caregiver Questionnaire,Caregiver questionnaire,"1st Grade, 3rd Grade, 4th Grade, 5th Grade",ACg
After School Arrangements and Structured Activities,After School Arrangements and Structured Activities – Mother Interview,"Childcare usage, after school time","3rd Grade, 4th Grade, 5th Grade",M
After School Questionnaire,After School Environment Questionnaire,Psychosocial climate,1st Grade,C
After School Time Use - Child Interview,After School Time Use Child Interview,After school time,"3rd Grade, 4th Grade, 5th Grade",C
Anthropometric Assessment,Anthropometric Form,"Height, weight, BMI, skin folds",Age 15,C
"Attendance, Referral, and Retention/Teacher Year End Questionnaire","Attendance, Referrals and Retention Information","School, performance","1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 8th grade",T
"Attendance, Referral, and Retention/Teacher Year End Questionnaire","Attendance, Referrals and Retention Information","School, performance","1st Grade, 2nd Grade, 3rd Grade, 4th Grade, 5th Grade, 6th Grade, 8th grade",P
Attitude Toward Maternal Employment,Attitude Toward Maternal Employment,"Employment, maternal","1 Month, 6 Month, 15 Month, 24 Month, 36 Month","M, FHHS"
Attitude Toward Maternal Employment,Attitude Toward Maternal Employment,"Employment, maternal","1 Month, 6 Month, 15 Month, 24 Month, 36 Month",FHHS
Attribution Bias Questionnaire,Attribution Bias Questionnaire,Attribution bias,"54 Month, 1st Grade",C
BART,Balloon Analogue Risk Task,Risk taking,Age 15,C
Bayley,Bayley Scales of Infant Development (Mental Development Index) & Revised Standardization Version,Cognitive-Mental development,"15 Month, 24 Month",C
Bayley Compliance Sheet,Compliance Ratings in Bayley Procedure,Compliance,24 Month,C
Blood Pressure Assessment,Blood Pressure Form,Blood pressure,Age 15,C
Book Naming Activity,Title Recognition Test,"Literacy, home environment",5th Grade,C
Bracken,Bracken Basic Concept Scale (BBCS),Cognition,36 Month,C
Brief Neighborhood Observation Schedule,Neighborhood Observation,"Neighborhood, quality, type",Age 15,RA
CSA Activity Monitor Data Form,CSA Activity Monitor Data Form,Physical activity,"3rd Grade, 5th Grade, 6th Grade, Age 15",RA
