Variable,Label,Values
id,site/loc/subject ID,
assessment,assessment when information was collected,
memps,Mother's employment status,
pemps,partner's employment status,
mhrw,hrs/wk mother works-all jobs,
phrw,hrs/wk partner works,
moccu,Occupation of mother,
poccu,Occupation of partner,
mstat,Mother's marital status,
fhome,"Father lives in household (1 = yes, 0 = no)",
phome,"Husband/partner lives in household (1 = yes, 0 = no)",
thhsz,Total household size (children + adults),
hhtyp,Household type,
adlts,Number of adults living in homw (rel/unrel),
